Num etu,pdf /1,respect longueur /2,clarté du texte /2,diag séquence /3,Clé RSA /4,AES chiffrement /4,Hachage /4,TOTAL
52201639,1,2,2,"2,5","2,5",2,2,14
52306070,0,2,2,"0,5",2,2,3,"11,5"
52202178,0,2,2,1,2,2,2,11
52204839,0,0,2,2,2,2,2,10
52104949,0,2,2,1,"2,5",3,3,"13,5"
52202459,0,0,0,0,0,0,0,0
52203391,1,2,2,"2,25",2,2,2,"11,26"
52202999,1,2,2,2,2,2,2,13
52200265,0,2,2,"2,5",2,2,2,"12,5"
52105463,1,2,2,"2,5",3,"2,5","2,5","15,5"
52202195,1,2,2,2,2,2,2,13
52202711,0,0,2,"1,5",2,2,2,"9,5"
52101577,0,0,2,1,"2,5",3,3,"11,5"
52205574,1,2,2,"2,5",2,2,3,"14,5"
52201155,1,2,2,"2,5",3,4,4,"18,5"
52202530,1,0,2,"2,5",4,2,3,"13,5"
52201165,0,0,2,0,"2,5",3,3,"10,5"
52201576,1,2,2,2,3,"3,5","3,5",17
52205081,0,2,2,2,2,2,2,12
52203533,0,2,2,"1,5",2,2,2,"11,5"
52304465,0,2,2,"2,5",4,"3,5",4,18
51903737,0,2,2,"2,5",2,2,2,"12,5"
